,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
C11H15O5N,11,15,5,1,0,0,0,0,CHON,Lignin,241.095090822365,-0.282980316857831,1,C11H15O5N,0,0.2,5,0,-1,65.4818181818182,239.819730157131,0.180269842869251,-0.181818181818182,0.454545454545455,1.36363636363636,0.0909090909090909,0,NA,Lignin,Lignin,Other
C10H10O5S,10,10,5,0,0,1,0,0,CHOS,Lignin,242.024968208146,-0.306111582561472,1,C10H10O5S,0,0.384615384615385,6,1,0,54.6,240.748569233516,0.251430766484333,0.2,0.5,1,0,0,NA,Lignin,Lignin,Other
C10H10O7,10,10,7,0,0,0,0,0,CHO,Tannin,242.042730190301,-0.320251723190302,1,C10H10O7,0,0.384615384615385,6,-1,-1,48.9,240.766311382483,0.233688617517288,0.4,0.7,1,0,0,NA,Tannin,Tannin,Other
C11H14O6,11,14,6,0,0,0,0,0,CHO,Lignin,242.079124182275,-0.355256882444383,1,C11H14O6,0,0.25,5,-1,-1,65.4818181818182,240.8026647366,0.19733526339985,-0.181818181818182,0.545454545454545,1.27272727272727,0,0,NA,Lignin,Lignin,Other
C12H18O3S,12,18,3,0,0,1,0,0,CHOS,Lipid,242.097731954549,-0.27600609194179,1,C12H18O3S,0,0.157894736842105,4,1,0,84.05,240.821251731269,0.178748268730601,-0.833333333333333,0.25,1.5,0,0,NA,Other,Lipid,Other
C12H18O5,12,18,5,0,0,0,0,0,CHO,Protein,242.115497767844,-0.305967792299294,1,C12H18O5,0,0.157894736842105,4,-1,-1,79.3,240.838997707099,0.161002292901429,-0.666666666666667,0.416666666666667,1.5,0,0,NA,Protein,Protein,Other
C13H22O4,13,22,4,0,0,0,0,0,CHO,Protein,242.151862622928,-0.220639755371221,1,C13H22O4,0,0.0909090909090909,3,-1,-1,90.9923076923077,240.875321956861,0.124678043139482,-1.07692307692308,0.307692307692308,1.69230769230769,0,0,NA,Protein,Protein,Other
C10H13O6N,10,13,6,1,0,0,0,0,CHON,Lignin,243.074352762583,-0.269907057790469,1,C10H13O6N,0,0.166666666666667,5,-1,-2,54.6,241.796782035784,0.203217964215582,0.2,0.6,1.3,0.1,0,NA,Lignin,Lignin,Other
C12H21O4N,12,21,4,1,0,0,0,0,CHON,Protein,243.147167382336,-0.449170915192438,1,C12H21O4N,0,0,3,-1,-2,84.05,241.869515350083,0.130484649917491,-0.833333333333333,0.333333333333333,1.75,0.0833333333333333,0,NA,Protein,Protein,Other
C13H25O3N,13,25,3,1,0,0,0,0,CHON,Lipid,243.183493237191,-0.203809850365172,1,C13H25O3N,0,0,2,-1,-2,95.3769230769231,241.905800643163,0.0941993568365547,-1.23076923076923,0.230769230769231,1.92307692307692,0.0769230769230769,0,NA,Lipid,Lipid,Other
C10H12O5S,10,12,5,0,0,1,0,0,CHOS,Lignin,244.040625252646,-0.332186275464366,1,C10H12O5S,0,0.230769230769231,5,0,-1,60.3,242.761975577353,0.238024422647271,0,0.5,1.2,0,0,NA,Lignin,Lignin,Other
C10H12O7,10,12,7,0,0,0,0,0,CHO,Tannin,244.05837615653,-0.300815858082401,1,C10H12O7,0,0.230769230769231,5,-2,-2,54.6,242.779706660419,0.220293339581133,0.2,0.7,1.2,0,0,NA,Tannin,Tannin,Other
C11H16O6,11,16,6,0,0,0,0,0,CHO,Lignin,244.094770852564,-0.338419227913639,1,C11H16O6,0,0.125,4,-2,-2,70.6636363636364,242.81606071781,0.18393928218984,-0.363636363636363,0.545454545454545,1.45454545454545,0,0,NA,Protein;Amino Sugar,Lignin,Other
C12H20O5,12,20,5,0,0,0,0,0,CHO,Protein,244.131134987702,-0.2508291379642,1,C12H20O5,0,0.0526315789473684,3,-2,-2,84.05,242.85238424843,0.147615751569987,-0.833333333333333,0.416666666666667,1.66666666666667,0,0,NA,Protein,Protein,Other
C13H24O4,13,24,4,0,0,0,0,0,CHO,Protein,244.167492100511,-0.134504845516323,1,C13H24O4,0,0,2,-2,-2,95.3769230769231,242.888700764562,0.111299235437968,-1.23076923076923,0.307692307692308,1.84615384615385,0,0,NA,Protein,Protein,Other
C9H10O8,9,10,8,0,0,0,0,0,CHO,Tannin,246.037630800628,-0.258102095741139,1,C9H10O8,0,0.2,5,-3,-3,41.3,244.756751251099,0.243248748900555,0.666666666666667,0.888888888888889,1.11111111111111,0,0,NA,Tannin,Tannin,Other
C13H10O5,13,10,5,0,0,0,0,0,CHO,ConHC,246.052854239577,-0.125209182956344,1,C13H10O5,0.5,0.619047619047619,9,4,4,60.3,244.77195769142,0.228042308579518,0,0.384615384615385,0.769230769230769,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
C10H14O5S,10,14,5,0,0,1,0,0,CHOS,Lignin,246.056243942912,-0.201957938183011,1,C10H14O5S,0,0.0769230769230769,4,-1,-2,66,244.775343609782,0.224656390217518,-0.2,0.5,1.4,0,0,NA,Lignin,Lignin,Other
C10H14O7,10,14,7,0,0,0,0,0,CHO,Tannin,246.073997745962,-0.182635559499305,1,C10H14O7,0,0.0769230769230769,4,-3,-3,60.3,244.793077588777,0.206922411222592,0,0.7,1.4,0,0,NA,Amino Sugar,Tannin,Other
C14H14O4,14,14,4,0,0,0,0,0,CHO,Lignin,246.089262784068,-0.218807874216922,1,C14H14O4,0.4,0.5,8,4,4,72.5142857142857,244.808325581805,0.191674418194509,-0.428571428571429,0.285714285714286,1,0,0,NA,Lignin,Lignin,Other
C11H18O6,11,18,6,0,0,0,0,0,CHO,Protein,246.11038858026,-0.204257368064423,1,C11H18O6,0,0,3,-3,-3,75.8454545454546,244.829427788745,0.170572211255291,-0.545454545454546,0.545454545454545,1.63636363636364,0,0,NA,Protein;Amino Sugar,Protein,Other
